codigo;archivo;imagen_url;url_origen
102;CHICLE FIERITA RECARGADO MENTA X50U (cod 102 ).jpeg;/static/productos_img/CHICLE FIERITA RECARGADO MENTA X50U (cod 102 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/Q0hJQ0xFIEZJRVJJVEEgUkVDQVJHQURPIE1FTlRBIFg1MFUgKGNvZDogMTAyICk=.jpeg
103;CHICLE FIERITA RECARGADO TUTTI FRUTTI X50U (cod 103 ).jpeg;/static/productos_img/CHICLE FIERITA RECARGADO TUTTI FRUTTI X50U (cod 103 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/Q0hJQ0xFIEZJRVJJVEEgUkVDQVJHQURPIFRVVFRJIEZSVVRUSSBYNTBVIChjb2Q6IDEwMyAp.jpeg
104;CHICLE FIERITA MENTA X100U (cod 104 ).jpeg;/static/productos_img/CHICLE FIERITA MENTA X100U (cod 104 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/Q0hJQ0xFIEZJRVJJVEEgTUVOVEEgWDEwMFUgKGNvZDogMTA0ICk=.jpeg
105;CHICLE FIERITA TUTTI X100U (cod 105 ).jpeg;/static/productos_img/CHICLE FIERITA TUTTI X100U (cod 105 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/Q0hJQ0xFIEZJRVJJVEEgVFVUVEkgWDEwMFUgKGNvZDogMTA1ICk=.jpeg
115;CHICLE OPEN CANDY MAESTROS DEL TERROR C TATOO X 50 (cod 115 ).jpeg;/static/productos_img/CHICLE OPEN CANDY MAESTROS DEL TERROR C TATOO X 50 (cod 115 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/Q0hJQ0xFIE9QRU4gQ0FORFkgTUFFU1RST1MgREVMIFRFUlJPUiBDL1RBVE9PIFggNTAgKGNvZDogMTE1ICk=.jpeg
140;BELDENT FRESH SPARKS MENTAx20u (cod 140 ).jpeg;/static/productos_img/BELDENT FRESH SPARKS MENTAx20u (cod 140 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/QkVMREVOVCBGUkVTSCBTUEFSS1MgTUVOVEF4MjB1IChjb2Q6IDE0MCAp.jpeg
141;BELDENT FRESH SPARKS MTA.Fx20u (cod 141 ).jpeg;/static/productos_img/BELDENT FRESH SPARKS MTA.Fx20u (cod 141 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/QkVMREVOVCBGUkVTSCBTUEFSS1MgTVRBLkZ4MjB1IChjb2Q6IDE0MSAp.jpeg
142;BELDENT FRESH SPARKS MENTOx20u (cod 142 ).jpeg;/static/productos_img/BELDENT FRESH SPARKS MENTOx20u (cod 142 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/QkVMREVOVCBGUkVTSCBTUEFSS1MgTUVOVE94MjB1IChjb2Q6IDE0MiAp.jpeg
143;BELDENT FRESH SPARKS FRUTIx20u (cod 143 ).jpeg;/static/productos_img/BELDENT FRESH SPARKS FRUTIx20u (cod 143 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/QkVMREVOVCBGUkVTSCBTUEFSS1MgRlJVVEl4MjB1IChjb2Q6IDE0MyAp.jpeg
144;TOP LINE SEVEN MENTA (cod 144 ).jpeg;/static/productos_img/TOP LINE SEVEN MENTA (cod 144 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/VE9QIExJTkUgU0VWRU4gTUVOVEEgKGNvZDogMTQ0ICk=.jpeg
